Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market buy,2021-03-10 16:12:18,US73102V1052,POLA,Polar Power,3,14.39,USD,1.38899,,GBP,31.08,GBP,,,,,,,EOF1168433163,,,
Market buy,2021-03-10 17:19:31,US38046C1099,GOGO,Gogo,3,13.29,USD,1.38919,,GBP,28.7,GBP,,,,,,,EOF1168459922,,,
Market buy,2021-03-10 18:31:59,US29082A1079,ERJ,Embraer,4,9.29,USD,1.39123,,GBP,26.71,GBP,,,,,,,EOF1170051107,,,
Market buy,2021-03-10 20:07:30,US37045V1008,GM,General Motors,1,56.67,USD,1.39272,,GBP,40.69,GBP,,,,,,,EOF1170077782,,,
Deposit,2021-03-11 14:02:20,,,,,,,,,,35,GBP,,,,,,Transaction ID: 63401630-372f-4dc6-a462-6c5eb554c64b,55cba465-f140-419e-8296-6ad711d5bcf6,,,
Market buy,2021-03-11 14:34:16,CA9237251058,VET,Vermilion Energy,5,8.44,USD,1.39504,,GBP,30.25,GBP,,,,,,,EOF1174942113,,,
Market buy,2021-03-11 14:41:58,US29382R1077,EVC,Entravision Communications,10,3.69,USD,1.39424,,GBP,26.43,GBP,,,,,,,EOF1174949612,,,
Market buy,2021-03-11 14:47:14,US13462K1097,CWH,Camping World,1,40.88,USD,1.39427,,GBP,29.32,GBP,,,,,,,EOF1174957830,,,
Market sell,2021-03-11 14:49:29,US38046C1099,GOGO,Gogo,2,14.07,USD,1.39514,1.04,GBP,20.17,GBP,,,,,,,EOF1174959312,,,
Market sell,2021-03-11 15:06:26,US23204G1004,CUBI,Customers Bancorp,1,30.58,USD,1.39634,0.6,GBP,21.9,GBP,,,,,0,,EOF1174970591,,,GBP
Market sell,2021-03-11 15:16:34,US38046C1099,GOGO,Gogo,1,13.24,USD,1.39515,-0.08,GBP,9.49,GBP,,,,,,,EOF1174977209,,,
Market sell,2021-03-11 15:21:45,US29082A1079,ERJ,Embraer,2,9.81,USD,1.39544,0.7,GBP,14.06,GBP,,,,,,,EOF1174980930,,,
Market buy,2021-03-11 15:31:12,US92536C1036,VERU,Veru,2,14.47,USD,1.39537,,GBP,20.74,GBP,,,,,,,EOF1178335633,,,
Market buy,2021-03-11 16:11:57,US03783T1034,APPHQ,AppHarvest,2,22.68,USD,1.39655,,GBP,32.48,GBP,,,,,,,EOF1178355127,,,
Market buy,2021-03-11 16:46:27,US05351X1019,AVYAQ,Avaya,0.9,30.95,USD,1.39694,,GBP,19.94,GBP,,,,,,,EOF1178370002,,,
Market sell,2021-03-11 16:53:15,US29082A1079,ERJ,Embraer,1,9.84,USD,1.39772,0.36,GBP,7.04,GBP,,,,,,,EOF1178372268,,,
Market buy,2021-03-11 16:54:28,US05351X1019,AVYAQ,Avaya,0.1,30.82,USD,1.39457,,GBP,2.21,GBP,,,,,,,EOF1178372677,,,
Market sell,2021-03-12 14:53:35,US5663301068,MCS,Marcus,2,23.11,USD,1.38923,0.9,GBP,33.27,GBP,,,,,0,,EOF1182170537,,,GBP
Market buy,2021-03-12 14:54:24,US72919P2020,PLUG,Plug Power,1,46.6,USD,1.38855,,GBP,33.56,GBP,,,,,,,EOF1182170970,,,
Market sell,2021-03-12 14:57:27,US29082A1079,ERJ,Embraer,1,10.2,USD,1.38964,0.67,GBP,7.34,GBP,,,,,,,EOF1182173050,,,
Market sell,2021-03-12 14:58:43,US37045V1008,GM,General Motors,1,56.67,USD,1.38931,0.1,GBP,40.79,GBP,,,,,,,EOF1182173920,,,
Market buy,2021-03-12 14:59:42,IL0011681371,NNOX,Nano-X Imaging,1,43.87,USD,1.38873,,GBP,31.59,GBP,,,,,,,EOF1182174676,,,
Market sell,2021-03-12 15:08:40,US55616P1049,M,Macy's,1,18.09,USD,1.3894,0.63,GBP,13.02,GBP,,,,,,,EOF1182179607,,,
Market sell,2021-03-12 16:31:35,US29382R1077,EVC,Entravision Communications,5,4.02,USD,1.391,1.23,GBP,14.45,GBP,,,,,0,,EOF1185570694,,,GBP
Market sell,2021-03-12 16:36:07,US05990K1060,BANC,Banc of California,1,21.27,USD,1.39168,0.7,GBP,15.28,GBP,,,,,0,,EOF1185572258,,,GBP
Market sell,2021-03-12 17:15:15,US29382R1077,EVC,Entravision Communications,5,3.99,USD,1.3934,1.11,GBP,14.32,GBP,,,,,0,,EOF1185582073,,,GBP
Market sell,2021-03-12 17:19:12,US05990K1060,BANC,Banc of California,1,21.15,USD,1.39386,0.59,GBP,15.17,GBP,,,,,0,,EOF1186932957,,,GBP
